date,department_name,revenue,ebit_margin,utilization_rate,revenue_per_day,profit
2023-05-31 00:00:00,Infrastructure Advisory,15800.99,0.225,0.796,993.77,3548.83
2023-06-30 00:00:00,Infrastructure Advisory,14478.45,0.295,0.717,1012.48,4275.110000000001
2023-07-31 00:00:00,Infrastructure Advisory,16227.81,0.29,0.791,1027.08,4698.09
2023-08-31 00:00:00,Infrastructure Advisory,15387.34,0.335,0.775,992.73,5147.84
2023-09-30 00:00:00,Infrastructure Advisory,16534.81,0.304,0.789,1046.51,5018.560000000001
2023-10-31 00:00:00,Infrastructure Advisory,14826.74,0.278,0.771,962.78,4124.74
2023-11-30 00:00:00,Infrastructure Advisory,16015.41,0.257,0.793,1007.26,4120.02
2023-12-31 00:00:00,Infrastructure Advisory,16614.06,0.328,0.829,1000.85,5456.460000000003
2024-01-31 00:00:00,Infrastructure Advisory,14671.77,0.286,0.749,978.12,4202.5
2024-02-29 00:00:00,Infrastructure Advisory,14425.64,0.232,0.71,1015.89,3341.2000000000007
2024-03-31 00:00:00,Infrastructure Advisory,15018.9,0.262,0.751,1001.26,3930.67
2024-04-30 00:00:00,Infrastructure Advisory,16080.77,0.267,0.786,1024.25,4300.09
2024-05-31 00:00:00,Infrastructure Advisory,15862.54,0.295,0.812,979.17,4675.3200000000015
2024-06-30 00:00:00,Infrastructure Advisory,17318.71,0.297,0.829,1043.3,5147.049999999997
2024-07-31 00:00:00,Infrastructure Advisory,16470.51,0.256,0.808,1016.7,4210.339999999998
2024-08-31 00:00:00,Infrastructure Advisory,17421.51,0.287,0.834,1043.2,5007.989999999998
2024-09-30 00:00:00,Infrastructure Advisory,15135.12,0.203,0.726,1043.8,3065.2800000000007
2024-10-31 00:00:00,Infrastructure Advisory,16351.9,0.265,0.833,979.16,4334.4699999999975
2024-11-30 00:00:00,Infrastructure Advisory,15568.78,0.288,0.791,985.37,4481.280000000001
2024-12-31 00:00:00,Infrastructure Advisory,14847.18,0.233,0.756,983.26,3466.210000000001
